Stats,,,,,,,,,
Total Exited,2037,,,,,,,,
Total Records,10000,,,,,,,,
exit ratio,20.40%,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,RowNumber,Exited,Probability,Total Select,Total Select Percent,Random Select,Random Select,Model Select,Model Select Percent
,3532,1,0.933250537,1,0.0001,0.2037,0.0001,1,0.00%
,417,1,0.898809745,2,0.0002,0.4074,0.0002,2,0.10%
,2474,1,0.897220071,3,0.0003,0.6111,0.0003,3,0.10%
,8157,0,0.882358606,4,0.0004,0.8148,0.0004,3,0.10%
,7500,1,0.870493204,5,0.0005,1.0185,0.0005,4,0.20%
,2116,1,0.866815966,6,0.0006,1.2222,0.0006,5,0.20%
,4560,1,0.861896614,7,0.0007,1.4259,0.0007,6,0.30%
,4502,0,0.86146921,8,0.0008,1.6296,0.0008,6,0.30%
,8763,1,0.859018896,9,0.0009,1.8333,0.0009,7,0.30%
,8189,0,0.858012662,10,0.001,2.037,0.001,7,0.30%
,5005,1,0.850300012,11,0.0011,2.2407,0.0011,8,0.40%
,7693,0,0.842999995,12,0.0012,2.4444,0.0012,8,0.40%
,4816,0,0.839545243,13,0.0013,2.6481,0.0013,8,0.40%
,2916,1,0.832049737,14,0.0014,2.8518,0.0014,9,0.40%
,7630,1,0.831478785,15,0.0015,3.0555,0.0015,10,0.50%
,8489,1,0.829578576,16,0.0016,3.2592,0.0016,11,0.50%
,8222,1,0.828322828,17,0.0017,3.4629,0.0017,12,0.60%
,5021,1,0.825951341,18,0.0018,3.6666,0.0018,13,0.60%
,6531,0,0.822560244,19,0.0019,3.8703,0.0019,13,0.60%
,3146,1,0.818887218,20,0.002,4.074,0.002,14,0.70%
,9588,0,0.818498017,21,0.0021,4.2777,0.0021,14,0.70%
,7035,1,0.816557359,22,0.0022,4.4814,0.0022,15,0.70%
,9603,1,0.815528518,23,0.0023,4.6851,0.0023,16,0.80%
,4381,1,0.815140689,24,0.0024,4.8888,0.0024,17,0.80%
,4471,1,0.812633368,25,0.0025,5.0925,0.0025,18,0.90%
,7009,1,0.811335365,26,0.0026,5.2962,0.0026,19,0.90%
,1743,1,0.809967277,27,0.0027,5.4999,0.0027,20,1.00%
,7259,1,0.808263283,28,0.0028,5.7036,0.0028,21,1.00%
,9556,1,0.805951995,29,0.0029,5.9073,0.0029,22,1.10%
,1929,1,0.80402875,30,0.003,6.111,0.003,23,1.10%
,1159,1,0.802641709,31,0.0031,6.3147,0.0031,24,1.20%
,4436,1,0.801943042,32,0.0032,6.5184,0.0032,25,1.20%
,9103,0,0.800339393,33,0.0033,6.7221,0.0033,25,1.20%
,5577,1,0.800310617,34,0.0034,6.9258,0.0034,26,1.30%
,5133,0,0.79597487,35,0.0035,7.1295,0.0035,26,1.30%
,59,1,0.79549315,36,0.0036,7.3332,0.0036,27,1.30%
,9207,1,0.795125249,37,0.0037,7.5369,0.0037,28,1.40%
,2857,1,0.792181933,38,0.0038,7.7406,0.0038,29,1.40%
,9293,0,0.792002594,39,0.0039,7.9443,0.0039,29,1.40%
,3783,1,0.79163843,40,0.004,8.148,0.004,30,1.50%
